Observer,Date,Time,Pig,With/To,Behavior,Location,Notes,GPS,Start,Stop
AJ,9/16/22,8:38:21 AM,Bates,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:39:02 AM,Bates,No Value,Get.disp,"30.014812,-97.307473",Black and whit roof with tusks and white tail tip,,0,0
AJ,9/16/22,8:39:57 AM,Bates,No Value,Root,"30.014849,-97.307463",,,0,0
AJ,9/16/22,8:40:03 AM,Bates,Thomas,Co-feed,"30.014925,-97.307352",Eat hay next to Thomas,,0,0
AJ,9/16/22,8:40:52 AM,Bates,No Value,Get.disp,"30.014873,-97.307327",By black pig with white feet white tail male,,0,0
AJ,9/16/22,8:41:52 AM,Bates,No Value,Snout.tch,"30.014899,-97.307354",Grey and white pig (pic),,0,0
AJ,9/16/22,8:43:34 AM,Bates,No Value,Root,"30.014805,-97.307346",,,0,0
AJ,9/16/22,8:44:15 AM,Bates,No Value,Root,"30.014903,-97.307397",,,0,0
AJ,9/16/22,8:44:36 AM,Bates,No Value,Sniff.obj,"30.014829,-97.307378",Sniff feeding platform,,0,0
AJ,9/16/22,8:46:26 AM,Bates,Dora,Snout.tch,"30.016420,-97.306162",,,0,0
AJ,9/16/22,8:46:42 AM,Bates,No Value,Get.disp,"30.014848,-97.307440",Black pig white splashes pic,,0,0
AJ,9/16/22,8:48:51 AM,Bates,No Value,,"30.016746,-97.306027",Out of sight,,0,0
AJ,9/16/22,8:49:22 AM,Bates,No Value,,"30.015003,-97.307652",OOV >1 min,,0,0
AJ,9/16/22,8:50:18 AM,Georgie,No Value,Yawn,"30.014974,-97.307622",,,0,0
AJ,9/16/22,8:50:54 AM,Georgie,No Value,,"30.014922,-97.307397",Lay on ground,,0,0
AJ,9/16/22,8:51:31 AM,Georgie,No Value,,"30.014845,-97.307499",,,0,1
AJ,9/16/22,8:51:37 AM,Thomas,No Value,Root,"30.014929,-97.307432",,,0,0
AJ,9/16/22,8:52:32 AM,Atlas,No Value,Root,"30.014899,-97.307500",,,0,0
AJ,9/16/22,8:52:38 AM,Thomas,No Value,Root,"30.014828,-97.307392",,,0,0
AJ,9/16/22,8:53:57 AM,Thomas,Atlas,,"30.014762,-97.307245",Sniff Atlas,,0,0
AJ,9/16/22,8:54:40 AM,Thomas,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:54:56 AM,Atlas,No Value,Root,"30.014805,-97.307342",,,0,0
AJ,9/16/22,8:55:30 AM,Thomas,No Value,Get.disp,"30.014800,-97.307447",Pink pig black on face (pic),,0,0
AJ,9/16/22,8:56:06 AM,Thomas,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:57:17 AM,Thomas,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:58:09 AM,Imogen,No Value,Root,"30.014859,-97.307347",,,0,0
AJ,9/16/22,8:58:17 AM,Thomas,No Value,Root,"30.014816,-97.307382",,,0,0
AJ,9/16/22,9:01:18 AM,Thomas,Eleanor,Co-feed,"30.015717,-97.306906",,,0,0
AJ,9/16/22,9:02:12 AM,Thomas,No Value,Root,"30.014912,-97.307343",,,0,0
AJ,9/16/22,9:04:24 AM,Thomas,No Value,Get.disp,"30.015580,-97.306952",Marbled pig male white tail tusks,,0,0
AJ,9/16/22,9:05:27 AM,Thomas,No Value,Snout.tch,"30.014902,-97.307325",Black pig white feet (pic),,0,0
AJ,9/16/22,9:06:01 AM,Thomas,No Value,Sniff.obj,"30.014790,-97.307189",Branch on ground,,0,0
AJ,9/16/22,9:51:11 AM,Rebel,No Value,Root,"30.014868,-97.307467",,,0,0
AJ,9/16/22,9:51:30 AM,Rebel,No Value,Root,"30.014888,-97.307414",,,0,1
AJ,9/23/22,9:00:34 AM,No Value,No Value,,,,,0,0
AJ,9/23/22,9:00:42 AM,Thomas,No Value,Grunt,,,,1,0
AJ,9/23/22,9:01:05 AM,Thomas,No Value,Travel,,,,0,0
AJ,9/23/22,9:01:31 AM,Thomas,No Value,Poop,,,,0,0
