Observer,Date,Time,Pig,PigID,Trauma,Group,Sex,With/To,Behavior,Location,Notes,Start,Stop
NS,9/30/22,11:43:28,Hank,9,Y,B,M,Willie,Rest.proxim,"30.017648,-97.306016",,1,0
NS,9/30/22,11:45:59,Hank,9,Y,B,M,No Value,Grunt,"30.017567,-97.305999",,0,0
NS,9/30/22,11:46:08,Hank,9,Y,B,M,Willie,Rest.proxim,"30.014966,-97.306143",,0,0
NS,9/30/22,11:48:31,Hank,9,Y,B,M,Willie,Rest.proxim,"30.015006,-97.306070",,0,1
NS,10/7/22,10:40:30,Pixie,15,N,B,F,No Value,,"30.015110,-97.306427",Dinner table,0,0
NS,10/7/22,10:41:06,Pixie,15,N,B,F,No Value,Drink,"30.015106,-97.306497",Drink water in trough with front feet in,0,0
NS,10/7/22,10:41:22,Pixie,15,N,B,F,No Value,Travel,"30.015155,-97.306516",,0,0
NS,10/7/22,10:41:52,Pixie,15,N,B,F,No Value,Nudge.ground ,"30.015156,-97.306487",Hay,0,0
NS,10/7/22,10:42:39,Pixie,15,N,B,F,Dahlia,Get.disp,"30.015093,-97.306542",,0,0
NS,10/7/22,10:43:14,Pixie,15,N,B,F,Dahlia,Grunt,"30.015040,-97.306558",,0,0
NS,10/7/22,10:43:31,Pixie,15,N,B,F,No Value,Nudge.ground ,"30.015038,-97.306465",Hay,0,0
NS,10/7/22,10:45:26,Pixie,15,N,B,F,No Value,Other,"30.015069,-97.306485",Sniff Loretta,0,1
NS,10/7/22,10:46:01,Kitty,12,Y,B,F,No Value,Grunt,"30.015117,-97.306492",,1,0
NS,10/7/22,10:47:21,Kitty,12,Y,B,F,No Value,Other,"30.015069,-97.306545","Putting nose through fence, sniffing donkey ",0,0
NS,10/7/22,10:47:48,Kitty,12,Y,B,F,No Value,Nudge.ground ,"30.015059,-97.306547",Hay,0,0
NS,10/7/22,10:50:25,Kitty,12,Y,B,F,No Value,Grunt,"30.015039,-97.306492",,0,0
NS,10/7/22,10:50:47,Kitty,12,Y,B,F,Raymond,Attempt.disp,"30.015077,-97.306500",Displaces Raymond at dinner table,0,0
NS,10/7/22,10:51:22,Kitty,12,Y,B,F,No Value,Nudge.ground ,"30.015026,-97.306593",Dirt,0,0
NS,10/7/22,10:51:37,Raymond,16,N,B,M,No Value,Sniff.obj,"30.014907,-97.306613",Ground,1,0
NS,10/7/22,10:52:17,Raymond,16,N,B,M,No Value,Nudge.ground ,"30.014939,-97.306513",Hay,0,0
NS,10/7/22,10:53:33,Raymond,16,N,B,M,No Value,Nudge.ground ,"30.014965,-97.306636",Eat dirt next to Dahlia,0,0
NS,10/7/22,10:54:20,Raymond,16,N,B,M,No Value,Travel,"30.015010,-97.306596",,0,0
NS,10/7/22,10:55:40,Raymond,16,N,B,M,No Value,Nudge.ground ,"30.015101,-97.306644",Dirt/hay,0,0
NS,10/7/22,10:56:46,Raymond,16,N,B,M,No Value,Nudge.ground ,"30.015083,-97.306530",,0,1
NS,10/7/22,10:56:59,Loretta,13,Y,B,F,No Value,Nudge.ground ,"30.015115,-97.306451",Hay,1,0
NS,10/7/22,11:00:03,Loretta,13,Y,B,F,No Value,Nudge.ground ,"30.015103,-97.306454",,0,0
NS,10/7/22,11:02:04,Loretta,13,Y,B,F,No Value,Nudge.ground ,"30.015087,-97.306546",,0,1
NS,10/7/22,11:03:42,Willie,20,Y,B,M,No Value,Rest,"30.015005,-97.306492",,1,0
NS,10/7/22,11:08:54,Willie,20,Y,B,M,No Value,Rest,"30.014992,-97.306157",,0,1
NS,10/7/22,11:12:19,Hank,9,Y,B,M,George,Rest.proxim,"30.014993,-97.305968",,1,0
NS,10/7/22,11:17:28,Hank,9,Y,B,M,George,Rest.proxim,"30.014587,-97.306240",,0,1
NS,10/7/22,11:17:36,George,7,Y,B,M,Hank,Rest.proxim,"30.014651,-97.306402",,1,0
NS,10/7/22,11:22:55,George,7,Y,B,M,Hank,Rest.proxim,"30.014697,-97.306302",,0,1
NS,10/7/22,11:23:53,Dahlia,4,N,B,F,Molly,Rest.proxim,"30.014694,-97.306306",,1,0
NS,10/7/22,11:29:06,Dahlia,4,N,B,F,Molly,Rest.proxim,"30.014707,-97.306476",,0,1
NS,10/7/22,11:29:20,Molly,14,N,B,F,Dahlia,Rest.proxim,"30.014764,-97.306526",,1,0
NS,10/7/22,11:34:23,Molly,14,N,B,F,Dahlia,Rest.proxim,"30.014698,-97.306472",,0,1
NS,10/21/22,12:49:59,Loretta,13,Y,B,F,No Value,Rest,"30.015123,-97.307546",,1,0
NS,10/21/22,12:55:20,Loretta,13,Y,B,F,No Value,Rest,"30.014954,-97.306564",,0,1
