Date,Time,PigName,With/To,Behavior,Behavior.cat,Location,Notes,GPS,Start,Stop,Observer
10/7/22,10:56:46,Raymond,No Value,Nudge.ground,Activity,"30.015083,-97.306530",,,0,1,NS
10/7/22,10:56:59,Loretta,No Value,Nudge.ground,Activity,"30.015115,-97.306451",Hay,,1,0,NS
10/7/22,10:57:18 AM,Dahlia,Willie,Rest.proxim,Pro.social,"30.004178,-97.295733",,,0,1,AJ
10/7/22,10:58:23 AM,Pixie,No Value,Nudge.ground,Activity,"30.014913,-97.306110",dirt,,1,0,AJ
10/7/22,10:58:59 AM,Pixie,No Value,Other,Other,"30.015010,-97.306490",lifting up dinner table with snout,,0,0,AJ
10/7/22,11:00:03,Loretta,No Value,Nudge.ground,Activity,"30.015103,-97.306454",,,0,0,NS
10/7/22,11:02:04,Loretta,No Value,Nudge.ground,Activity,"30.015087,-97.306546",,,0,1,NS
10/7/22,11:03:42,Willie,No Value,Rest,Rest,"30.015005,-97.306492",,,1,0,NS
10/7/22,11:03:49 AM,Pixie,No Value,Nudge.ground,Activity,"30.013510,-97.304953",,,0,1,AJ
10/7/22,11:06:31 AM,Raymond,Kitty,Nudge.ground,Activity,"30.006378,-97.297917",,,1,0,AJ
10/7/22,11:08:07 AM,Raymond,Kitty,Rest.proxim,Pro.social,"30.013387,-97.302235",,,0,0,AJ
10/7/22,11:08:54,Willie,No Value,Rest,Rest,"30.014992,-97.306157",,,0,1,NS
10/7/22,11:11:30 AM,Raymond,Kitty,Rest.proxim,Pro.social,"30.006406,-97.308077",,,0,1,AJ
10/7/22,11:11:42 AM,Kitty,Raymond,Rest.proxim,Pro.social,"30.015153,-97.305777",,,1,0,AJ
10/7/22,11:12:19,Hank,George,Rest.proxim,Pro.social,"30.014993,-97.305968",,,1,0,NS
10/7/22,11:17:00 AM,Kitty,Raymond,Rest.proxim,Pro.social,"30.008603,-97.300047",,,0,1,AJ
10/7/22,11:17:28,Hank,George,Rest.proxim,Pro.social,"30.014587,-97.306240",,,0,1,NS
10/7/22,11:17:36,George,Hank,Rest.proxim,Pro.social,"30.014651,-97.306402",,,1,0,NS
10/7/22,11:22:21 AM,Molly,Dahlia,Rest.proxim,Pro.social,"30.004270,-97.295813",,,1,0,AJ
10/7/22,11:22:55,George,Hank,Rest.proxim,Pro.social,"30.014697,-97.306302",,,0,1,NS
10/7/22,11:23:53,Dahlia,Molly,Rest.proxim,Pro.social,"30.014694,-97.306306",,,1,0,NS
10/7/22,11:27:34 AM,Molly,Dahlia,Rest.proxim,Pro.social,"30.004473,-97.296017",,,0,1,AJ
10/7/22,11:28:18 AM,George,Hank,Rest.proxim,Pro.social,"30.014679,-97.306176",,,1,0,AJ
10/7/22,11:29:06,Dahlia,Molly,Rest.proxim,Pro.social,"30.014707,-97.306476",,,0,1,NS
10/7/22,11:29:20,Molly,Dahlia,Rest.proxim,Pro.social,"30.014764,-97.306526",,,1,0,NS
10/7/22,11:33:36 AM,George,Hank,Rest.proxim,Pro.social,"30.005549,-97.297149",,,0,1,AJ
10/7/22,11:33:46 AM,Hank,George,Rest.proxim,Pro.social,"30.014479,-97.306412",,,1,0,AJ
10/7/22,11:34:23,Molly,Dahlia,Rest.proxim,Pro.social,"30.014698,-97.306472",,,0,1,NS
10/7/22,11:38:53 AM,Hank,George,Rest.proxim,Pro.social,"30.014740,-97.306401",,,0,1,AJ
10/21/22,11:37:52 AM,Wilbur,No Value,Travel,Activity,"30.014862,-97.307033",,,1,0,AJ
10/21/22,11:38:48 AM,Wilbur,No Value,Nudge.ground,Activity,"30.014947,-97.307144",,,0,0,AJ
10/21/22,11:39:55,Bates,No Value,Nudge.ground,Activity,"30.014816,-97.307352",Hay,,1,0,NS
10/21/22,11:40:35 AM,Wilbur,No Value,Wag.tail,Wag.tail,"30.015224,-97.307397",,,0,0,AJ
10/21/22,11:40:42,Bates,No Value,Wag.tail,Wag.tail,"30.015123,-97.307546",,,0,0,NS
10/21/22,11:40:56,Bates,Unknown,Get.disp,R.agg,"30.014697,-97.307460",Gray pig tusks (pic),,0,0,NS
10/21/22,11:41:41,Bates,No Value,Nudge.ground,Activity,"30.015123,-97.307546",,,0,0,NS
10/21/22,11:43:07,Bates,No Value,Nudge.ground,Activity,"30.014818,-97.307338",Dirt,,0,0,NS
10/21/22,11:43:46 AM,Wilbur,No Value,Nudge.ground,Activity,"30.014781,-97.307375",,,0,1,AJ
10/21/22,11:44:17 AM,Imogen,No Value,Nudge.ground,Activity,"30.014999,-97.306948",,,1,0,AJ
10/21/22,11:44:29 AM,Imogen,No Value,Wag.tail,Wag.tail,"30.014965,-97.307355",,,0,0,AJ
10/21/22,11:44:34,Bates,Unknown,Get.disp,R.agg,"30.015123,-97.307546",Unknown marbled pig with tusks pic,,0,1,NS
10/21/22,11:44:38 AM,Imogen,Wilbur,Nudge.ground,Activity,"30.014996,-97.307175",,,0,0,AJ
10/21/22,11:45:16,Georgie,No Value,Nudge.ground,Activity,"30.015123,-97.307546",,,1,0,NS
10/21/22,11:45:34 AM,Imogen,No Value,Travel,Activity,"30.014999,-97.306948",,,0,0,AJ
10/21/22,11:45:47 AM,Imogen,Rebel,Attempt.disp,G.agg,"30.014934,-97.307323",successful,,0,0,AJ
10/21/22,11:46:42,Georgie,No Value,Nudge.ground,Activity,"30.015123,-97.307546",Dirt,,0,0,NS
10/21/22,11:47:09,Georgie,No Value,Travel,Activity,"30.015123,-97.307546",,,0,0,NS
10/21/22,11:48:13,Georgie,No Value,Drink,Drink,"30.015123,-97.307546",,,0,0,NS
10/21/22,11:49:14,Georgie,No Value,Travel,Activity,"30.015123,-97.307546",,,0,0,NS
10/21/22,11:49:27,Georgie,No Value,Pee,Pee,"30.014715,-97.307367",,,0,0,NS
10/21/22,11:49:37,Georgie,No Value,Travel,Activity,"30.014711,-97.307380",,,0,0,NS
10/21/22,11:49:46,Georgie,No Value,Nudge.ground,Activity,"30.014796,-97.307372",Hay,,0,0,NS
10/21/22,11:49:53 AM,Imogen,No Value,Nudge.ground,Activity,"30.014999,-97.306948",,,0,1,AJ
10/21/22,11:50:16 AM,Horatio,No Value,Nudge.ground,Activity,"30.014749,-97.307544",,,1,0,AJ
10/21/22,11:50:21,Georgie,No Value,Nudge.ground,Activity,"30.015123,-97.307546",Hay,,0,1,NS
10/21/22,11:50:37 AM,Horatio,No Value,Wag.tail,Wag.tail,"30.014816,-97.307390",,,0,0,AJ
10/21/22,11:50:58,Dora,No Value,Nudge.ground,Activity,"30.015123,-97.307546",Hay,,1,0,NS
10/21/22,11:52:57,Dora,Unknown,Attempt.disp,G.agg,"30.015123,-97.307546",Pic spotted small pig,,0,0,NS
10/21/22,11:53:30,Dora,No Value,Nudge.ground,Activity,"30.014907,-97.307292",Hay,,0,0,NS
10/21/22,11:55:02 AM,Horatio,No Value,Nudge.ground,Activity,"30.014840,-97.307346",,,0,1,AJ
10/21/22,11:56:03,Dora,No Value,Nudge.ground,Activity,"30.015123,-97.307546",Hay,,0,1,NS
10/21/22,11:56:46,Eleanor,No Value,Nudge.ground,Activity,"30.015123,-97.307546",,,1,0,NS
10/21/22,11:57:29 AM,Rebel,No Value,Nudge.ground,Activity,"30.017934,-97.307536",,,1,0,AJ
10/21/22,11:58:15 AM,Rebel,No Value,Wag.tail,Wag.tail,"30.014758,-97.307366",,,0,0,AJ
10/21/22,11:58:57,Eleanor,Dora,Attempt.disp,G.agg,"30.015123,-97.307546",Displaces Dora,,0,0,NS
10/21/22,11:59:29,Eleanor,No Value,Nudge.ground,Activity,"30.014899,-97.307297",Hay,,0,0,NS
10/21/22,12:01:58,Eleanor,No Value,Nudge.ground,Activity,"30.015123,-97.307546",Hay,,0,1,NS
